Header:Begin
Name: Age of Oil Tech Tree
TreeID: Age_of_Oil
TreeRequirement: Special_Forces:40%
Format: Table
Schema: TechData
Version: 1.0
Scope: Global
Header:End

Data:Begin
NodeID            NodeLevel   Purpose                          IsToggle   EffectValue   ResearchTime    Iron    Coin    Food    Oil     ValorMedals   TechRequirements                                 BuildingRequirements  Notes
Fast_Builder_V    3           Increase constr speed           False      7.50          10d 09:40:00   6.0M    18.0M   6.0M    0        0             Fast_Builder_V:2                           Tech_Center_1:30       Estimate:Base
Fast_Builder_V    4           Increase constr speed           False      10.00         11d 23:30:00   8.2M    24.6M   8.2M    0        0             Fast_Builder_V:3                           Tech_Center_1:30       Estimate:Base
Fast_Builder_V    5           Increase constr speed           False      12.50         13d 19:10:00   11.1M   33.3M   11.1M   0        0             Fast_Builder_V:4                           Tech_Center_1:30       Estimate:Base
Fast_Builder_V    6           Increase constr speed           False      15.00         15d 22:00:00   15.0M   45.0M   15.0M   0        0             Fast_Builder_V:5                           Tech_Center_1:30       Estimate:Base
Fast_Builder_V    7           Increase constr speed           False      17.50         18d 07:30:00   20.2M   60.6M   20.2M   0        0             Fast_Builder_V:6                           Tech_Center_1:30       Estimate:Base
Fast_Builder_V    8           Increase constr speed           False      20.00         21d 02:40:00   27.3M   81.9M   27.3M   0        0             Fast_Builder_V:7                           Tech_Center_1:30       Estimate:Base
Fast_Builder_V    9           Increase constr speed           False      22.50         24d 06:15:00   36.8M   110.4M  36.8M   0        0             Fast_Builder_V:8                           Tech_Center_1:30       Estimate:Base
Fast_Builder_V    10          Increase constr speed           False      25.00         27d 20:50:00   49.7M   149.1M  49.7M   0        0             Fast_Builder_V:9                           Tech_Center_1:30       Estimate:Base

Research_Adv_V    1           Increase res. speed             False      2.50          07d 20:39:00   3.3M    10.0M   3.3M    0        0             Oil_Output_I:10                            Tech_Center_1:30       Confirmed:Buffed
Research_Adv_V    2           Increase res. speed             False      5.00          07d 20:39:00   3.4M    10.2M   3.4M    0        0             Research_Adv_V:1                           Tech_Center_1:30       Confirmed:Base
Research_Adv_V    3           Increase res. speed             False      7.50          10d 09:40:00   6.0M    18.0M   6.0M    0        0             Research_Adv_V:2                           Tech_Center_1:30       Estimate:Base
Research_Adv_V    4           Increase res. speed             False      10.00         11d 23:30:00   8.2M    24.6M   8.2M    0        0             Research_Adv_V:3                           Tech_Center_1:30       Estimate:Base
Research_Adv_V    5           Increase res. speed             False      12.50         13d 19:10:00   11.1M   33.3M   11.1M   80.0K    0             Research_Adv_V:4                           Tech_Center_1:30       Estimate:Base
Research_Adv_V    6           Increase res. speed             False      15.00         15d 22:00:00   15.0M   45.0M   15.0M   140.0K   0             Research_Adv_V:5                           Tech_Center_1:30       Estimate:Base
Research_Adv_V    7           Increase res. speed             False      17.50         18d 07:30:00   20.2M   60.6M   20.2M   220.0K   0             Research_Adv_V:6                           Tech_Center_1:30       Estimate:Base
Research_Adv_V    8           Increase res. speed             False      20.00         21d 02:40:00   27.3M   81.9M   27.3M   330.0K   0             Research_Adv_V:7                           Tech_Center_1:30       Estimate:Base
Research_Adv_V    9           Increase res. speed             False      22.50         24d 06:15:00   36.8M   110.4M  36.8M   480.0K   0             Research_Adv_V:8                           Tech_Center_1:30       Estimate:Base
Research_Adv_V    10          Increase res. speed             False      25.00         27d 20:50:00   49.7M   149.1M  49.7M   680.0K   0             Research_Adv_V:9                           Tech_Center_1:30       Estimate:Base

Unlock_Tech_Ctr_3 1           Unlock 3rd Tech Ctr             True       0.0           03d 21:39:49   4.7M    14.1M   4.7M    162.0K   0             Fast_Builder_V:1;Research_Adv_V:1          Tech_Center_1:31       Estimate:Buffed

Data:End
